year,price
2024,88
2025,90
2026,100
2027,110
2028,129
2029,135
2030,142
2031,157
2032,167
2033,177
2034,187
2035,196
2036,206
2037,216
2038,226
2039,236
2040,246
2041,256
2042,265
2043,275
2044,285
2045,295
2046,305
2047,315
2048,325
2049,334
2050,344
