segment,region,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Ammonia,malta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ammonia,netherlands,6.796602798106152e-07,6.796602798106152e-07,6.796602798106152e-07,6.796602798106152e-07,6.796602798106152e-07,6.796602798106152e-07,6.796602798106152e-07,6.796602798106152e-07,6.796602798106152e-07,6.796602798106152e-07,6.796602798106152e-07,6.796602798106152e-07,6.796602798106152e-07,6.796602798106152e-07,6.796602798106152e-07,6.796602798106152e-07,6.796602798106152e-07,6.796602798106152e-07,6.796602798106152e-07,6.796602798106152e-07,6.796602798106152e-07,6.796602798106152e-07,6.796602798106152e-07,6.796602798106152e-07,6.796602798106152e-07,6.796602798106152e-07,6.796602798106152e-07
Ammonia,norway,6.11712285802436e-06,6.11712285802436e-06,6.11712285802436e-06,6.11712285802436e-06,6.11712285802436e-06,6.11712285802436e-06,6.11712285802436e-06,6.11712285802436e-06,6.11712285802436e-06,6.11712285802436e-06,6.11712285802436e-06,6.11712285802436e-06,6.11712285802436e-06,6.11712285802436e-06,6.11712285802436e-06,6.11712285802436e-06,6.11712285802436e-06,6.11712285802436e-06,6.11712285802436e-06,6.11712285802436e-06,6.11712285802436e-06,6.11712285802436e-06,6.11712285802436e-06,6.11712285802436e-06,6.11712285802436e-06,6.11712285802436e-06,6.11712285802436e-06
Ammonia,poland,1.8551769750822681e-06,1.8551769750822681e-06,1.8551769750822681e-06,1.8551769750822681e-06,1.8551769750822681e-06,1.8551769750822681e-06,1.8551769750822681e-06,1.8551769750822681e-06,1.8551769750822681e-06,1.8551769750822681e-06,1.8551769750822681e-06,1.8551769750822681e-06,1.8551769750822681e-06,1.8551769750822681e-06,1.8551769750822681e-06,1.8551769750822681e-06,1.8551769750822681e-06,1.8551769750822681e-06,1.8551769750822681e-06,1.8551769750822681e-06,1.8551769750822681e-06,1.8551769750822681e-06,1.8551769750822681e-06,1.8551769750822681e-06,1.8551769750822681e-06,1.8551769750822681e-06,1.8551769750822681e-06
Ammonia,portugal,1.3519113103033646e-05,1.3519113103033646e-05,1.3519113103033646e-05,1.3519113103033646e-05,1.3519113103033646e-05,1.3519113103033646e-05,1.3519113103033646e-05,1.3519113103033646e-05,1.3519113103033646e-05,1.3519113103033646e-05,1.3519113103033646e-05,1.3519113103033646e-05,1.3519113103033646e-05,1.3519113103033646e-05,1.3519113103033646e-05,1.3519113103033646e-05,1.3519113103033646e-05,1.3519113103033646e-05,1.3519113103033646e-05,1.3519113103033646e-05,1.3519113103033646e-05,1.3519113103033646e-05,1.3519113103033646e-05,1.3519113103033646e-05,1.3519113103033646e-05,1.3519113103033646e-05,1.3519113103033646e-05
Ammonia,romania,2.618928192528636e-05,2.618928192528636e-05,2.618928192528636e-05,2.618928192528636e-05,2.618928192528636e-05,2.618928192528636e-05,2.618928192528636e-05,2.618928192528636e-05,2.618928192528636e-05,2.618928192528636e-05,2.618928192528636e-05,2.618928192528636e-05,2.618928192528636e-05,2.618928192528636e-05,2.618928192528636e-05,2.618928192528636e-05,2.618928192528636e-05,2.618928192528636e-05,2.618928192528636e-05,2.618928192528636e-05,2.618928192528636e-05,2.618928192528636e-05,2.618928192528636e-05,2.618928192528636e-05,2.618928192528636e-05,2.618928192528636e-05,2.618928192528636e-05
Ammonia,slovakia,7.80706639112175e-06,7.80706639112175e-06,7.80706639112175e-06,7.80706639112175e-06,7.80706639112175e-06,7.80706639112175e-06,7.80706639112175e-06,7.80706639112175e-06,7.80706639112175e-06,7.80706639112175e-06,7.80706639112175e-06,7.80706639112175e-06,7.80706639112175e-06,7.80706639112175e-06,7.80706639112175e-06,7.80706639112175e-06,7.80706639112175e-06,7.80706639112175e-06,7.80706639112175e-06,7.80706639112175e-06,7.80706639112175e-06,7.80706639112175e-06,7.80706639112175e-06,7.80706639112175e-06,7.80706639112175e-06,7.80706639112175e-06,7.80706639112175e-06
Ammonia,slovenia,0.00013297369164783475,0.00013297369164783475,0.00013297369164783475,0.00013297369164783475,0.00013297369164783475,0.00013297369164783475,0.00013297369164783475,0.00013297369164783475,0.00013297369164783475,0.00013297369164783475,0.00013297369164783475,0.00013297369164783475,0.00013297369164783475,0.00013297369164783475,0.00013297369164783475,0.00013297369164783475,0.00013297369164783475,0.00013297369164783475,0.00013297369164783475,0.00013297369164783475,0.00013297369164783475,0.00013297369164783475,0.00013297369164783475,0.00013297369164783475,0.00013297369164783475,0.00013297369164783475,0.00013297369164783475
Ammonia,spain,1.4695050460924299e-06,1.4695050460924299e-06,1.4695050460924299e-06,1.4695050460924299e-06,1.4695050460924299e-06,1.4695050460924299e-06,1.4695050460924299e-06,1.4695050460924299e-06,1.4695050460924299e-06,1.4695050460924299e-06,1.4695050460924299e-06,1.4695050460924299e-06,1.4695050460924299e-06,1.4695050460924299e-06,1.4695050460924299e-06,1.4695050460924299e-06,1.4695050460924299e-06,1.4695050460924299e-06,1.4695050460924299e-06,1.4695050460924299e-06,1.4695050460924299e-06,1.4695050460924299e-06,1.4695050460924299e-06,1.4695050460924299e-06,1.4695050460924299e-06,1.4695050460924299e-06,1.4695050460924299e-06
Ammonia,sweden,1.157981463546725e-05,1.157981463546725e-05,1.157981463546725e-05,1.157981463546725e-05,1.157981463546725e-05,1.157981463546725e-05,1.157981463546725e-05,1.157981463546725e-05,1.157981463546725e-05,1.157981463546725e-05,1.157981463546725e-05,1.157981463546725e-05,1.157981463546725e-05,1.157981463546725e-05,1.157981463546725e-05,1.157981463546725e-05,1.157981463546725e-05,1.157981463546725e-05,1.157981463546725e-05,1.157981463546725e-05,1.157981463546725e-05,1.157981463546725e-05,1.157981463546725e-05,1.157981463546725e-05,1.157981463546725e-05,1.157981463546725e-05,1.157981463546725e-05
Ammonia,switzerland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aviation,austria,2.443415073043409e-06,2.443415073043409e-06,2.443415073043409e-06,2.443415073043409e-06,2.443415073043409e-06,2.443415073043409e-06,2.443415073043409e-06,2.443415073043409e-06,2.443415073043409e-06,2.443415073043409e-06,2.443415073043409e-06,2.443415073043409e-06,2.443415073043409e-06,2.443415073043409e-06,2.443415073043409e-06,2.443415073043409e-06,2.443415073043409e-06,2.443415073043409e-06,2.443415073043409e-06,2.443415073043409e-06,2.443415073043409e-06,2.443415073043409e-06,2.443415073043409e-06,2.443415073043409e-06,2.443415073043409e-06,2.443415073043409e-06,2.443415073043409e-06
Aviation,belgium,3.4981542397935664e-05,3.4981542397935664e-05,3.4981542397935664e-05,3.4981542397935664e-05,3.4981542397935664e-05,3.4981542397935664e-05,3.4981542397935664e-05,3.4981542397935664e-05,3.4981542397935664e-05,3.4981542397935664e-05,3.4981542397935664e-05,3.4981542397935664e-05,3.4981542397935664e-05,3.4981542397935664e-05,3.4981542397935664e-05,3.4981542397935664e-05,3.4981542397935664e-05,3.4981542397935664e-05,3.4981542397935664e-05,3.4981542397935664e-05,3.4981542397935664e-05,3.4981542397935664e-05,3.4981542397935664e-05,3.4981542397935664e-05,3.4981542397935664e-05,3.4981542397935664e-05,3.4981542397935664e-05
Aviation,bulgaria,1.3228388567345364e-05,1.3228388567345364e-05,1.3228388567345364e-05,1.3228388567345364e-05,1.3228388567345364e-05,1.3228388567345364e-05,1.3228388567345364e-05,1.3228388567345364e-05,1.3228388567345364e-05,1.3228388567345364e-05,1.3228388567345364e-05,1.3228388567345364e-05,1.3228388567345364e-05,1.3228388567345364e-05,1.3228388567345364e-05,1.3228388567345364e-05,1.3228388567345364e-05,1.3228388567345364e-05,1.3228388567345364e-05,1.3228388567345364e-05,1.3228388567345364e-05,1.3228388567345364e-05,1.3228388567345364e-05,1.3228388567345364e-05,1.3228388567345364e-05,1.3228388567345364e-05,1.3228388567345364e-05
Aviation,croatia,0.046442767743586584,0.046442767743586584,0.046442767743586584,0.046442767743586584,0.046442767743586584,0.046442767743586584,0.046442767743586584,0.046442767743586584,0.046442767743586584,0.046442767743586584,0.046442767743586584,0.046442767743586584,0.046442767743586584,0.046442767743586584,0.046442767743586584,0.046442767743586584,0.046442767743586584,0.046442767743586584,0.046442767743586584,0.046442767743586584,0.046442767743586584,0.046442767743586584,0.046442767743586584,0.046442767743586584,0.046442767743586584,0.046442767743586584,0.046442767743586584
Aviation,cyprus,9.336935852681211e-05,9.336935852681211e-05,9.336935852681211e-05,9.336935852681211e-05,9.336935852681211e-05,9.336935852681211e-05,9.336935852681211e-05,9.336935852681211e-05,9.336935852681211e-05,9.336935852681211e-05,9.336935852681211e-05,9.336935852681211e-05,9.336935852681211e-05,9.336935852681211e-05,9.336935852681211e-05,9.336935852681211e-05,9.336935852681211e-05,9.336935852681211e-05,9.336935852681211e-05,9.336935852681211e-05,9.336935852681211e-05,9.336935852681211e-05,9.336935852681211e-05,9.336935852681211e-05,9.336935852681211e-05,9.336935852681211e-05,9.336935852681211e-05
Aviation,czechia,0.00010441376427968983,0.00010441376427968983,0.00010441376427968983,0.00010441376427968983,0.00010441376427968983,0.00010441376427968983,0.00010441376427968983,0.00010441376427968983,0.00010441376427968983,0.00010441376427968983,0.00010441376427968983,0.00010441376427968983,0.00010441376427968983,0.00010441376427968983,0.00010441376427968983,0.00010441376427968983,0.00010441376427968983,0.00010441376427968983,0.00010441376427968983,0.00010441376427968983,0.00010441376427968983,0.00010441376427968983,0.00010441376427968983,0.00010441376427968983,0.00010441376427968983,0.00010441376427968983,0.00010441376427968983
Aviation,denmark,6.059303064868805e-06,6.059303064868805e-06,6.059303064868805e-06,6.059303064868805e-06,6.059303064868805e-06,6.059303064868805e-06,6.059303064868805e-06,6.059303064868805e-06,6.059303064868805e-06,6.059303064868805e-06,6.059303064868805e-06,6.059303064868805e-06,6.059303064868805e-06,6.059303064868805e-06,6.059303064868805e-06,6.059303064868805e-06,6.059303064868805e-06,6.059303064868805e-06,6.059303064868805e-06,6.059303064868805e-06,6.059303064868805e-06,6.059303064868805e-06,6.059303064868805e-06,6.059303064868805e-06,6.059303064868805e-06,6.059303064868805e-06,6.059303064868805e-06
Aviation,estonia,0.0004816124866174428,0.0004816124866174428,0.0004816124866174428,0.0004816124866174428,0.0004816124866174428,0.0004816124866174428,0.0004816124866174428,0.0004816124866174428,0.0004816124866174428,0.0004816124866174428,0.0004816124866174428,0.0004816124866174428,0.0004816124866174428,0.0004816124866174428,0.0004816124866174428,0.0004816124866174428,0.0004816124866174428,0.0004816124866174428,0.0004816124866174428,0.0004816124866174428,0.0004816124866174428,0.0004816124866174428,0.0004816124866174428,0.0004816124866174428,0.0004816124866174428,0.0004816124866174428,0.0004816124866174428
Aviation,finland,2.1867722170095794e-06,2.1867722170095794e-06,2.1867722170095794e-06,2.1867722170095794e-06,2.1867722170095794e-06,2.1867722170095794e-06,2.1867722170095794e-06,2.1867722170095794e-06,2.1867722170095794e-06,2.1867722170095794e-06,2.1867722170095794e-06,2.1867722170095794e-06,2.1867722170095794e-06,2.1867722170095794e-06,2.1867722170095794e-06,2.1867722170095794e-06,2.1867722170095794e-06,2.1867722170095794e-06,2.1867722170095794e-06,2.1867722170095794e-06,2.1867722170095794e-06,2.1867722170095794e-06,2.1867722170095794e-06,2.1867722170095794e-06,2.1867722170095794e-06,2.1867722170095794e-06,2.1867722170095794e-06
Aviation,france,1.9329791610197914e-06,1.9329791610197914e-06,1.9329791610197914e-06,1.9329791610197914e-06,1.9329791610197914e-06,1.9329791610197914e-06,1.9329791610197914e-06,1.9329791610197914e-06,1.9329791610197914e-06,1.9329791610197914e-06,1.9329791610197914e-06,1.9329791610197914e-06,1.9329791610197914e-06,1.9329791610197914e-06,1.9329791610197914e-06,1.9329791610197914e-06,1.9329791610197914e-06,1.9329791610197914e-06,1.9329791610197914e-06,1.9329791610197914e-06,1.9329791610197914e-06,1.9329791610197914e-06,1.9329791610197914e-06,1.9329791610197914e-06,1.9329791610197914e-06,1.9329791610197914e-06,1.9329791610197914e-06
Aviation,germany,9.530267114375463e-07,9.530267114375463e-07,9.530267114375463e-07,9.530267114375463e-07,9.530267114375463e-07,9.530267114375463e-07,9.530267114375463e-07,9.530267114375463e-07,9.530267114375463e-07,9.530267114375463e-07,9.530267114375463e-07,9.530267114375463e-07,9.530267114375463e-07,9.530267114375463e-07,9.530267114375463e-07,9.530267114375463e-07,9.530267114375463e-07,9.530267114375463e-07,9.530267114375463e-07,9.530267114375463e-07,9.530267114375463e-07,9.530267114375463e-07,9.530267114375463e-07,9.530267114375463e-07,9.530267114375463e-07,9.530267114375463e-07,9.530267114375463e-07
Aviation,greece,1.8264550820484811e-06,1.8264550820484811e-06,1.8264550820484811e-06,1.8264550820484811e-06,1.8264550820484811e-06,1.8264550820484811e-06,1.8264550820484811e-06,1.8264550820484811e-06,1.8264550820484811e-06,1.8264550820484811e-06,1.8264550820484811e-06,1.8264550820484811e-06,1.8264550820484811e-06,1.8264550820484811e-06,1.8264550820484811e-06,1.8264550820484811e-06,1.8264550820484811e-06,1.8264550820484811e-06,1.8264550820484811e-06,1.8264550820484811e-06,1.8264550820484811e-06,1.8264550820484811e-06,1.8264550820484811e-06,1.8264550820484811e-06,1.8264550820484811e-06,1.8264550820484811e-06,1.8264550820484811e-06
Aviation,hungary,0.0006047593313754986,0.0006047593313754986,0.0006047593313754986,0.0006047593313754986,0.0006047593313754986,0.0006047593313754986,0.0006047593313754986,0.0006047593313754986,0.0006047593313754986,0.0006047593313754986,0.0006047593313754986,0.0006047593313754986,0.0006047593313754986,0.0006047593313754986,0.0006047593313754986,0.0006047593313754986,0.0006047593313754986,0.0006047593313754986,0.0006047593313754986,0.0006047593313754986,0.0006047593313754986,0.0006047593313754986,0.0006047593313754986,0.0006047593313754986,0.0006047593313754986,0.0006047593313754986,0.0006047593313754986
Aviation,iceland,1.2528473828332382e-05,1.2528473828332382e-05,1.2528473828332382e-05,1.2528473828332382e-05,1.2528473828332382e-05,1.2528473828332382e-05,1.2528473828332382e-05,1.2528473828332382e-05,1.2528473828332382e-05,1.2528473828332382e-05,1.2528473828332382e-05,1.2528473828332382e-05,1.2528473828332382e-05,1.2528473828332382e-05,1.2528473828332382e-05,1.2528473828332382e-05,1.2528473828332382e-05,1.2528473828332382e-05,1.2528473828332382e-05,1.2528473828332382e-05,1.2528473828332382e-05,1.2528473828332382e-05,1.2528473828332382e-05,1.2528473828332382e-05,1.2528473828332382e-05,1.2528473828332382e-05,1.2528473828332382e-05
Aviation,ireland,2.04189012736353e-07,2.04189012736353e-07,2.04189012736353e-07,2.04189012736353e-07,2.04189012736353e-07,2.04189012736353e-07,2.04189012736353e-07,2.04189012736353e-07,2.04189012736353e-07,2.04189012736353e-07,2.04189012736353e-07,2.04189012736353e-07,2.04189012736353e-07,2.04189012736353e-07,2.04189012736353e-07,2.04189012736353e-07,2.04189012736353e-07,2.04189012736353e-07,2.04189012736353e-07,2.04189012736353e-07,2.04189012736353e-07,2.04189012736353e-07,2.04189012736353e-07,2.04189012736353e-07,2.04189012736353e-07,2.04189012736353e-07,2.04189012736353e-07
Aviation,italy,1.7226124772018908e-06,1.7226124772018908e-06,1.7226124772018908e-06,1.7226124772018908e-06,1.7226124772018908e-06,1.7226124772018908e-06,1.7226124772018908e-06,1.7226124772018908e-06,1.7226124772018908e-06,1.7226124772018908e-06,1.7226124772018908e-06,1.7226124772018908e-06,1.7226124772018908e-06,1.7226124772018908e-06,1.7226124772018908e-06,1.7226124772018908e-06,1.7226124772018908e-06,1.7226124772018908e-06,1.7226124772018908e-06,1.7226124772018908e-06,1.7226124772018908e-06,1.7226124772018908e-06,1.7226124772018908e-06,1.7226124772018908e-06,1.7226124772018908e-06,1.7226124772018908e-06,1.7226124772018908e-06
Aviation,latvia,5.296381738705556e-06,5.296381738705556e-06,5.296381738705556e-06,5.296381738705556e-06,5.296381738705556e-06,5.296381738705556e-06,5.296381738705556e-06,5.296381738705556e-06,5.296381738705556e-06,5.296381738705556e-06,5.296381738705556e-06,5.296381738705556e-06,5.296381738705556e-06,5.296381738705556e-06,5.296381738705556e-06,5.296381738705556e-06,5.296381738705556e-06,5.296381738705556e-06,5.296381738705556e-06,5.296381738705556e-06,5.296381738705556e-06,5.296381738705556e-06,5.296381738705556e-06,5.296381738705556e-06,5.296381738705556e-06,5.296381738705556e-06,5.296381738705556e-06
Aviation,liechtenstein,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
