segment,region,gamma
High temperature heat,hungary,100
High temperature heat,ireland,100
High temperature heat,italy,100
High temperature heat,latvia,100
High temperature heat,lithuania,100
High temperature heat,luxembourg,100
High temperature heat,malta,100
High temperature heat,netherlands,100
High temperature heat,poland,100
High temperature heat,portugal,100
High temperature heat,romania,100
High temperature heat,slovakia,100
High temperature heat,slovenia,100
High temperature heat,spain,100
High temperature heat,sweden,100
High temperature heat,liechtenstein,100
High temperature heat,norway,100
High temperature heat,iceland,100
Oil and Gas,austria,100
Oil and Gas,belgium,100
Oil and Gas,bulgaria,100
Oil and Gas,croatia,100
Oil and Gas,cyprus,100
Oil and Gas,czechia,100
Oil and Gas,denmark,100
Oil and Gas,estonia,100
Oil and Gas,finland,100
Oil and Gas,france,100
Oil and Gas,germany,100
Oil and Gas,greece,100
Oil and Gas,hungary,100
Oil and Gas,ireland,100
Oil and Gas,italy,100
Oil and Gas,latvia,100
Oil and Gas,lithuania,100
Oil and Gas,luxembourg,100
Oil and Gas,malta,100
Oil and Gas,netherlands,100
Oil and Gas,poland,100
Oil and Gas,portugal,100
Oil and Gas,romania,100
Oil and Gas,slovakia,100
Oil and Gas,slovenia,100
Oil and Gas,spain,100
Oil and Gas,sweden,100
Oil and Gas,liechtenstein,100
Oil and Gas,norway,100
Oil and Gas,iceland,100
Aviation,austria,100
Aviation,belgium,100
Aviation,bulgaria,100
Aviation,croatia,100
Aviation,cyprus,100
Aviation,czechia,100
Aviation,denmark,100
Aviation,estonia,100
Aviation,finland,100
Aviation,france,100
Aviation,germany,100
Aviation,greece,100
Aviation,hungary,100
Aviation,ireland,100
Aviation,italy,100
Aviation,latvia,100
Aviation,lithuania,100
Aviation,luxembourg,100
Aviation,malta,100
Aviation,netherlands,100
Aviation,poland,100
Aviation,portugal,100
Aviation,romania,100
Aviation,slovakia,100
Aviation,slovenia,100
Aviation,spain,100
Aviation,sweden,100
Aviation,liechtenstein,100
Aviation,norway,100
Aviation,iceland,100
