region,segment,technology,percent
austria,cement,af_lower_clinker_cement_ratio,0.03
austria,cement,lower_clinker_cement_ratio_ccs,0
poland,cement,conventional,0.95
poland,cement,ccs,0
poland,cement,af,0
poland,cement,af_ccs,0
poland,cement,af_lower_clinker_cement_ratio_ccs,0
poland,cement,lower_clinker_cement_ratio,0.02
poland,cement,af_lower_clinker_cement_ratio,0.03
poland,cement,lower_clinker_cement_ratio_ccs,0
portugal,cement,conventional,0.95
portugal,cement,ccs,0
portugal,cement,af,0
portugal,cement,af_ccs,0
portugal,cement,af_lower_clinker_cement_ratio_ccs,0
portugal,cement,lower_clinker_cement_ratio,0.02
portugal,cement,af_lower_clinker_cement_ratio,0.03
portugal,cement,lower_clinker_cement_ratio_ccs,0
romania,cement,conventional,0.95
romania,cement,ccs,0
romania,cement,af,0
romania,cement,af_ccs,0
romania,cement,af_lower_clinker_cement_ratio_ccs,0
romania,cement,lower_clinker_cement_ratio,0.02
romania,cement,af_lower_clinker_cement_ratio,0.03
romania,cement,lower_clinker_cement_ratio_ccs,0
slovenia,cement,conventional,0.95
slovenia,cement,ccs,0
slovenia,cement,af,0
slovenia,cement,af_ccs,0
slovenia,cement,af_lower_clinker_cement_ratio_ccs,0
slovenia,cement,lower_clinker_cement_ratio,0.02
slovenia,cement,af_lower_clinker_cement_ratio,0.03
slovenia,cement,lower_clinker_cement_ratio_ccs,0
slovakia,cement,conventional,0.95
slovakia,cement,ccs,0
slovakia,cement,af,0
slovakia,cement,af_ccs,0
slovakia,cement,af_lower_clinker_cement_ratio_ccs,0
slovakia,cement,lower_clinker_cement_ratio,0.02
slovakia,cement,af_lower_clinker_cement_ratio,0.03
slovakia,cement,lower_clinker_cement_ratio_ccs,0
finland,cement,conventional,0.95
finland,cement,ccs,0
finland,cement,af,0
finland,cement,af_ccs,0
finland,cement,af_lower_clinker_cement_ratio_ccs,0
finland,cement,lower_clinker_cement_ratio,0.02
finland,cement,af_lower_clinker_cement_ratio,0.03
finland,cement,lower_clinker_cement_ratio_ccs,0
sweden,cement,conventional,0.95
sweden,cement,ccs,0
sweden,cement,af,0
sweden,cement,af_ccs,0
sweden,cement,af_lower_clinker_cement_ratio_ccs,0
sweden,cement,lower_clinker_cement_ratio,0.02
sweden,cement,af_lower_clinker_cement_ratio,0.03
sweden,cement,lower_clinker_cement_ratio_ccs,0
