region,segment,technology,unit,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
denmark,cement,af_lower_clinker_cement_ratio,eur_per_tonne_cement_per_year,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110
denmark,cement,lower_clinker_cement_ratio_ccs,eur_per_tonne_cement_per_year,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158
germany,cement,conventional,eur_per_tonne_cement_per_year,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
germany,cement,ccs,eur_per_tonne_cement_per_year,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150
germany,cement,af,eur_per_tonne_cement_per_year,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102
germany,cement,af_ccs,eur_per_tonne_cement_per_year,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155
germany,cement,af_lower_clinker_cement_ratio_ccs,eur_per_tonne_cement_per_year,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160
germany,cement,lower_clinker_cement_ratio,eur_per_tonne_cement_per_year,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105
germany,cement,af_lower_clinker_cement_ratio,eur_per_tonne_cement_per_year,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110
germany,cement,lower_clinker_cement_ratio_ccs,eur_per_tonne_cement_per_year,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158
estonia,cement,conventional,eur_per_tonne_cement_per_year,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
estonia,cement,ccs,eur_per_tonne_cement_per_year,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150
estonia,cement,af,eur_per_tonne_cement_per_year,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102
estonia,cement,af_ccs,eur_per_tonne_cement_per_year,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155
estonia,cement,af_lower_clinker_cement_ratio_ccs,eur_per_tonne_cement_per_year,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160
estonia,cement,lower_clinker_cement_ratio,eur_per_tonne_cement_per_year,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105
